review,aspect,label
"There were too many people pushing and shoving on the platform, making me feel unsafe. I'm not sure if there was enough security around.",Safety,10
"The ticket prices were much higher than I expected, even for a short journey.  It felt like they were taking advantage of tourists.",Price,0
I couldn't find any information about train schedules or platform numbers. It was very confusing and disorganized.,Data availability,1
The station's infrastructure felt old and run-down. The benches were broken and the lighting was dim.,Maintenance,6
"The station was quite dirty, especially the toilets. It's a shame because the rest of the station was okay.",Cleanliness,2
"My train was delayed by over an hour with no explanation. This is unacceptable, especially when travelling with young children.",Punctuality,3
The staff were friendly and helpful. They even helped me find my platform.,Satisfactions,8
"The ticket prices were quite expensive, especially compared to other train lines in the city.",Price,0
"I felt unsafe at the station at night. There were some suspicious people hanging around, and it wasn't well lit.",Safety,10
It was easy to purchase my ticket using the ticket machines. The process was straightforward and quick.,User-friendly payment system,9
"I had a problem with my luggage, but the staff quickly resolved the issue. They were very helpful and understanding.",Handling complaints,7
"The station was clean and well-maintained, but the restrooms needed a bit more attention.",Cleanliness,2
It was hard to find information about train schedules and delays. The website and announcements were confusing.,Data availability,1
"The station seemed run-down. The paint was peeling, and some of the signs were broken.",Maintenance,6
"I witnessed a minor accident at the station. It was scary, and I hope they improve safety measures.",Accidents,5
I was impressed with the level of service I received. The staff was friendly and helpful.,Satisfactions,8
"The station was easy to navigate, and the information signs were clear and helpful.",User-friendly payment system,9
The station was a bit dusty and could use a good cleaning. The toilets were also not very clean.,Cleanliness,2
"My train arrived on time, and the journey was comfortable. No issues with the service.",Reliability,4
"There were no security checks, and I felt a bit uneasy about the lack of security measures.",Safety,10
It was difficult to find information about train times and platform numbers. The website and announcements weren't very helpful.,Data availability,1
"The station was in need of some repairs. Some of the walls were cracked, and the flooring was uneven.",Maintenance,6
"The station was crowded and noisy, and it was hard to find a quiet spot to wait for my train.",Satisfactions,8
I felt uneasy walking to my platform late at night. It would be nice to have more security staff present.,Safety,10
"The ticket machines were difficult to use, and I couldn't figure out how to buy a ticket.",User-friendly payment system,9
"The station was clean, but the facilities were outdated and could use an upgrade.",Maintenance,6
The ticket prices were reasonable for the convenience of travelling by train.,Price,0
"I had a minor issue with my ticket, and the staff was helpful in resolving it.",Handling complaints,7
"The trains were generally on time, but there were a few minor delays. This was not a major issue.",Punctuality,3
"There were a few instances of people loitering in the station, making me feel uncomfortable.",Safety,10
It was challenging to find clear information about train schedules and platform changes.,Data availability,1
"The station was clean and well-maintained, but the restrooms could use a bit more attention.",Cleanliness,2
"The ticket machines were easy to use, and I could purchase my ticket quickly and efficiently.",User-friendly payment system,9
I had a pleasant experience at the station. The staff was friendly and helpful.,Satisfactions,8
"There were no security personnel present, and I felt a bit unsafe walking through the station.",Safety,10
It was difficult to find clear information about train schedules and delays. The announcements were unclear and confusing.,Data availability,1
"The station was clean and well-maintained, but some of the seating areas were uncomfortable and needed to be replaced.",Maintenance,6
"The ticket prices were a bit high, but I understand that this is a major train station in a big city.",Price,0
"I had a problem with my ticket, and the staff was quick to help me resolve it. They were very helpful.",Handling complaints,7
"The trains were usually on time, but there were a few instances where there were unexpected delays.",Punctuality,3
"I felt safe walking through the station during the day, but I wouldn't recommend being there alone at night.",Safety,10
It was difficult to find information about train times and platform numbers. The website and announcements were confusing and not helpful.,Data availability,1
"The station was generally clean, but some of the benches were dirty and needed to be cleaned more often.",Cleanliness,2
"The ticket machines were easy to use and accepted various payment methods, making it convenient to buy tickets.",User-friendly payment system,9
I had a pleasant experience at the station. The staff was friendly and helpful.,Satisfactions,8
"I felt safe walking through the station during the day, but there were a few instances of people loitering at night, which made me feel a bit uneasy.",Safety,10
It was difficult to find clear information about train schedules and delays. The announcements were unclear and confusing.,Data availability,1
"The station was clean and well-maintained, but the restrooms could use a bit more attention.",Cleanliness,2
"The ticket prices were a bit high, but I understand that this is a major train station in a big city.",Price,0
"I had a problem with my ticket, and the staff was quick to help me resolve it. They were very helpful.",Handling complaints,7
"The trains were usually on time, but there were a few instances where there were unexpected delays.",Punctuality,3
"I felt safe walking through the station during the day, but I wouldn't recommend being there alone at night.",Safety,10
It was difficult to find clear information about train schedules and delays. The website and announcements were confusing and not helpful.,Data availability,1
"The station was generally clean, but some of the benches were dirty and needed to be cleaned more often.",Cleanliness,2
"The ticket machines were easy to use and accepted various payment methods, making it convenient to buy tickets.",User-friendly payment system,9
I had a pleasant experience at the station. The staff was friendly and helpful.,Satisfactions,8
